,open,close,high,low,volume
2011/11/2 00:00:00.005,3937.9,4072.78,4073.12,3919.69,4297387700
2011/11/3 00:00:00.005,4085.5,4097.62,4150.04,4085.31,5758645000
2011/11/4 00:00:00.005,4115.1,4131.13,4140.63,4093.92,4211797700
2011/11/7 00:00:00.005,4125.02,4114.77,4159.97,4107.56,3247751400
2011/11/8 00:00:00.005,4115.77,4057.55,4125.09,4049.81,3057045500
2011/11/9 00:00:00.005,4065.2,4126,4126,4025.72,3218422500
2011/11/10 00:00:00.005,4080.36,4064.37,4112.37,4063.75,3452368000
2011/11/11 00:00:00.005,4069.4,4062.14,4096.57,4043.76,2918880100
2011/11/14 00:00:00.005,4092.05,4159.57,4159.7,4092.05,3512701700
2011/11/15 00:00:00.005,4159.16,4192.66,4192.77,4153.33,3516143900
2011/11/16 00:00:00.005,4194.38,4088.32,4195.29,4070.9,3835667700
2011/11/17 00:00:00.005,4086.51,4079.54,4125.85,4066.12,2924785300
2011/11/18 00:00:00.005,4054.46,3963.26,4054.46,3955.06,2996717700
2011/11/21 00:00:00.005,3956.39,3966.64,3966.81,3917.03,2048320100
2011/11/22 00:00:00.005,3932.5,3957.93,3960.55,3902.13,2017532300
2011/11/23 00:00:00.005,3964.14,3942.7,3978.47,3932.44,2043581700
2011/11/24 00:00:00.005,3909.39,3935.27,3957.88,3880.58,2110914300
2011/11/25 00:00:00.005,3931.09,3911.36,3960.85,3899.06,1914147400
2011/11/28 00:00:00.005,3916,3915.3,3932.4,3885.69,1850107300
2011/11/29 00:00:00.005,3945.36,3980.62,3980.62,3929.02,2275247200
2011/11/30 00:00:00.005,3974.73,3819.94,3974.73,3776.59,3011637400
2011/12/1 00:00:00.005,3923.16,3897.02,3960.34,3885.87,3494188400
2011/12/2 00:00:00.005,3878.01,3817.04,3878.01,3797.28,2321019100
2011/12/5 00:00:00.005,3806.47,3692.23,3807.05,3682.06,2016211300
2011/12/6 00:00:00.005,3679.74,3691.8,3704.34,3646.07,1703889200
2011/12/7 00:00:00.005,3689.05,3702.1,3718.71,3674.53,1532657400
2011/12/8 00:00:00.005,3695.87,3700.09,3732.22,3635.55,1949426300
2011/12/9 00:00:00.005,3672.59,3663.84,3706.25,3651.7,1535836600
2011/12/12 00:00:00.005,3663.56,3616.09,3675.95,3612.64,1409450300
2011/12/13 00:00:00.005,3597.09,3490.4,3597.09,3482.23,2035264900
2011/12/14 00:00:00.005,3477.05,3423.47,3505.88,3416.71,1545233400
2011/12/15 00:00:00.005,3401.5,3329.57,3401.5,3324.88,1986821500
2011/12/16 00:00:00.005,3328.21,3427.21,3427.34,3324.59,1922565800
2011/12/19 00:00:00.005,3408.56,3434.84,3436.63,3348.26,1938126500
2011/12/20 00:00:00.005,3422.76,3424.45,3474.09,3415.35,1995588600
2011/12/21 00:00:00.005,3449.37,3342.4,3463.32,3340.33,1775050000
2011/12/22 00:00:00.005,3315.84,3298.72,3331.42,3196.84,2191627000
2011/12/23 00:00:00.005,3286.45,3327.39,3357.43,3271.44,1899617600
2011/12/26 00:00:00.005,3321.98,3308.07,3357.36,3307.29,1547683700
2011/12/27 00:00:00.005,3297.41,3224.15,3297.41,3218.54,1587409700
2011/12/28 00:00:00.005,3201.31,3207.4,3208.91,3128.15,1744064800
2011/12/29 00:00:00.005,3190.19,3207.18,3225,3180.06,1522092700
2011/12/30 00:00:00.005,3214.2,3266.78,3267.65,3214.2,1778426500
2012/1/4 00:00:00.005,3290.82,3192.23,3300.01,3191.99,1834283900
2012/1/5 00:00:00.005,3173.01,3074.37,3173.01,3070.45,1996570000
2012/1/6 00:00:00.005,3060.45,3087.55,3087.55,3002.98,1781812300
2012/1/9 00:00:00.005,3089.45,3212.9,3213.05,3056.19,2561640800
2012/1/10 00:00:00.005,3211.57,3345.39,3345.42,3202.97,3938751800
2012/1/11 00:00:00.005,3342.55,3346.74,3367.4,3315.67,3390170800
2012/1/12 00:00:00.005,3330.9,3345.81,3388.39,3323.14,2906987700
2012/1/13 00:00:00.005,3343.53,3233.7,3349.68,3210.32,2810865600
2012/1/16 00:00:00.005,3201.01,3130.56,3217.37,3130.32,1877546600
2012/1/17 00:00:00.005,3128.51,3304.88,3305,3110.36,3014850400
2012/1/18 00:00:00.005,3310.04,3237.85,3342.36,3223.99,3082551700
2012/1/19 00:00:00.005,3230.88,3270.76,3288.2,3208.05,2297402600
2012/1/20 00:00:00.005,3276.48,3315.6,3323.12,3267.03,2206734900
2012/1/30 00:00:00.005,3326.61,3292.41,3337.06,3290.54,1875438500
2012/1/31 00:00:00.005,3284.9,3294.49,3297.19,3251.42,1829072100
2012/2/1 00:00:00.005,3287.22,3266.23,3318.37,3255.63,1823640000
2012/2/2 00:00:00.005,3271.59,3328.15,3328.25,3266.96,2178790300
2012/2/3 00:00:00.005,3324.4,3383.05,3390.33,3315.69,3216831300
2012/2/6 00:00:00.005,3387.22,3412.41,3420,3381.76,3124920300
2012/2/7 00:00:00.005,3397.77,3356.84,3397.77,3333.64,2681577800
2012/2/8 00:00:00.005,3351.04,3445.52,3445.52,3341.7,3352194800
2012/2/9 00:00:00.005,3441.79,3469.85,3501.4,3434.81,4389821200
2012/2/10 00:00:00.005,3463.97,3488.23,3506.34,3459.13,3978319200
2012/2/13 00:00:00.005,3458.81,3519.88,3535.52,3441.33,3823807500
